,Place Name,Latitude,Longitude,weather_next_3hrs,weather_desc_next_3hrs,temp_next_3hrs,temp_feels_next_3hrs,date_time_next_3hrs,weather_next_6hrs,weather_desc_next_6hrs,temp_next_6hrs,temp_feels_next_6hrs,date_time_next_6hrs,weather_next_9hrs,weather_desc_next_9hrs,temp_next_9hrs,temp_feels_next_9hrs,date_time_next_9hrs,weather_next_12hrs,weather_desc_next_12hrs,temp_next_12hrs,temp_feels_next_12hrs,date_time_next_12hrs
61,"Manchester, UK",53.48396,-2.244644,Clouds,broken clouds,282.98,280.06,2023-04-19 09:00:00,Clouds,broken clouds,283.88,282.94,2023-04-19 12:00:00,Clouds,broken clouds,285.74,284.41,2023-04-19 15:00:00,Clouds,few clouds,283.71,282.21,2023-04-19 18:00:00
62,"Bristol, UK",51.454514,-2.58791,Clouds,broken clouds,282.94,279.9,2023-04-19 09:00:00,Clouds,broken clouds,283.97,283.25,2023-04-19 12:00:00,Rain,light rain,285.94,285.26,2023-04-19 15:00:00,Clouds,broken clouds,284.95,284.2,2023-04-19 18:00:00
63,"Wolverhampton, West Midlands, UK",52.59137,-2.110748,Clouds,broken clouds,281.66,278.07,2023-04-19 09:00:00,Rain,light rain,282.6,279.17,2023-04-19 12:00:00,Clouds,overcast clouds,284.19,283.23,2023-04-19 15:00:00,Clouds,broken clouds,282.3,278.86,2023-04-19 18:00:00
64,"Preston, Lancashire, UK",53.765762,-2.692337,Clouds,scattered clouds,283.35,282.38,2023-04-19 09:00:00,Clouds,scattered clouds,284.02,283.07,2023-04-19 12:00:00,Clouds,broken clouds,285.5,284.41,2023-04-19 15:00:00,Clouds,scattered clouds,282.86,279.59,2023-04-19 18:00:00
65,"Ayr, South Ayrshire, UK",55.458565,-4.629179,Clear,clear sky,283.25,282.17,2023-04-19 09:00:00,Clear,clear sky,284.3,283.19,2023-04-19 12:00:00,Clouds,few clouds,285.83,284.77,2023-04-19 15:00:00,Clear,clear sky,284.52,283.38,2023-04-19 18:00:00
66,"Hastings, East Sussex, UK",50.85426,0.573453,Clouds,few clouds,285.16,283.3,2023-04-19 09:00:00,Clouds,few clouds,284.91,283.47,2023-04-19 12:00:00,Clouds,broken clouds,284.76,283.54,2023-04-19 15:00:00,Clouds,broken clouds,283.03,279.2,2023-04-19 18:00:00
67,"Bedford, UK",52.136436,-0.460739,Clouds,broken clouds,282.66,279.38,2023-04-19 09:00:00,Rain,light rain,283.39,282.64,2023-04-19 12:00:00,Clouds,broken clouds,284.96,284.08,2023-04-19 15:00:00,Clouds,scattered clouds,282.04,278.67,2023-04-19 18:00:00
68,"Basildon, Essex, UK",51.572376,0.470009,Clouds,broken clouds,283.68,283.01,2023-04-19 09:00:00,Clouds,broken clouds,283.8,283.06,2023-04-19 12:00:00,Clouds,broken clouds,283.83,282.81,2023-04-19 15:00:00,Clouds,scattered clouds,281.89,278.21,2023-04-19 18:00:00
69,"Chippenham, Wiltshire, UK",51.458057,-2.116074,Clouds,overcast clouds,282.86,279.55,2023-04-19 09:00:00,Rain,light rain,283.87,283.14,2023-04-19 12:00:00,Rain,light rain,285.05,284.36,2023-04-19 15:00:00,Clouds,broken clouds,283.88,283.02,2023-04-19 18:00:00
70,"Birmingham, West Midlands, UK",52.48947,-1.898575,Clouds,broken clouds,282.04,278.84,2023-04-19 09:00:00,Rain,light rain,282.73,279.71,2023-04-19 12:00:00,Clouds,overcast clouds,284.81,283.81,2023-04-19 15:00:00,Clouds,broken clouds,283.07,280.14,2023-04-19 18:00:00
71,"Folkestone, Kent, UK",51.081398,1.169456,Clear,clear sky,284.73,284.03,2023-04-19 09:00:00,Clouds,few clouds,284.41,283.71,2023-04-19 12:00:00,Clouds,scattered clouds,284.17,283.26,2023-04-19 15:00:00,Clouds,scattered clouds,282.6,278.62,2023-04-19 18:00:00
72,"Edinburgh, Scotland, UK",55.95325,-3.188267,Clouds,broken clouds,282.65,279.64,2023-04-19 09:00:00,Clouds,broken clouds,283.15,280.23,2023-04-19 12:00:00,Clouds,scattered clouds,283.56,282.38,2023-04-19 15:00:00,Clear,clear sky,282.08,279.39,2023-04-19 18:00:00
73,"Southampton, UK",50.9097,-1.404351,Clouds,overcast clouds,284.15,283.39,2023-04-19 09:00:00,Clouds,broken clouds,284.89,284.16,2023-04-19 12:00:00,Clouds,broken clouds,285.96,285.23,2023-04-19 15:00:00,Clouds,scattered clouds,283.74,282.76,2023-04-19 18:00:00
74,"Belfast, Northern Ireland, the UK",54.60787,-5.926437,Clouds,overcast clouds,282.12,278.48,2023-04-19 09:00:00,Clouds,broken clouds,282.57,279.26,2023-04-19 12:00:00,Clouds,overcast clouds,283.53,282.66,2023-04-19 15:00:00,Clouds,overcast clouds,283.97,283.01,2023-04-19 18:00:00
75,"Uckfield, East Sussex, UK",50.96794,0.085831,Clouds,scattered clouds,286.06,285.29,2023-04-19 09:00:00,Clouds,scattered clouds,286.1,285.36,2023-04-19 12:00:00,Clouds,broken clouds,285.98,285.22,2023-04-19 15:00:00,Clouds,scattered clouds,282.45,278.91,2023-04-19 18:00:00
76,"Worthing, West Sussex, UK",50.825024,-0.383835,Clear,clear sky,286.3,285.52,2023-04-19 09:00:00,Clouds,few clouds,285.94,285.21,2023-04-19 12:00:00,Clouds,scattered clouds,285.68,284.95,2023-04-19 15:00:00,Clouds,scattered clouds,283.31,282.24,2023-04-19 18:00:00
77,"Leeds, West Yorkshire, UK",53.801277,-1.548567,Clouds,broken clouds,282.8,280.38,2023-04-19 09:00:00,Clouds,broken clouds,282.94,280.52,2023-04-19 12:00:00,Clouds,scattered clouds,284.87,283.53,2023-04-19 15:00:00,Clouds,few clouds,282.75,280.17,2023-04-19 18:00:00
78,"Hull, UK",53.76775,-0.335827,Clouds,overcast clouds,282.85,279.99,2023-04-19 09:00:00,Clouds,overcast clouds,283.48,281.77,2023-04-19 12:00:00,Clouds,scattered clouds,283.54,281.97,2023-04-19 15:00:00,Clear,clear sky,281.45,278.52,2023-04-19 18:00:00
79,"Plymouth, UK",50.37629,-4.143841,Rain,light rain,283.05,279.45,2023-04-19 09:00:00,Clouds,broken clouds,283.57,282.83,2023-04-19 12:00:00,Clouds,scattered clouds,284.62,283.91,2023-04-19 15:00:00,Clouds,few clouds,284.76,284.09,2023-04-19 18:00:00
80,"Inverness, the UK",57.47777,-4.224721,Clear,clear sky,282.05,280.35,2023-04-19 09:00:00,Clear,clear sky,283.67,282.37,2023-04-19 12:00:00,Clear,clear sky,285.7,284.34,2023-04-19 15:00:00,Clear,clear sky,285.25,283.85,2023-04-19 18:00:00
